Index blocks information from the blockchain.
[02/04/2023 11:02 PM]:Connecting to MySQL...
[02/04/2023 11:02 PM]: Process for block Number [12100001]
[02/04/2023 11:02 PM]: Process to insert transaction index '0x0'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x2'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x3'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x4'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x5'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x6'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x7'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x8'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x9'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xa'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xb'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xc'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xd'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xe'
[02/04/2023 11:02 PM]: Process to insert transaction index '0xf'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x10'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x11'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x12'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x13'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x14'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x15'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x16'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x17'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x18'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x19'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1a'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1b'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1c'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1d'
[02/04/2023 11:02 PM]: Process to insert transaction index '0x1e'
